test walk_micro_5 ... bench:          48 ns/iter (+/- 5)

test walk_micro_50 ... bench:         464 ns/iter (+/- 26)

test walk_micro_200 ... bench:        1826 ns/iter (+/- 74)

test detect_with_direction ... bench:         454 ns/iter (+/- 8)

test pipeline_process ... bench:         494 ns/iter (+/- 27)

test pre_trade_pass ... bench:        1590 ns/iter (+/- 24)

test pre_trade_fail_short ... bench:         318 ns/iter (+/- 8)

test book_apply_snapshot_50 ... bench:         403 ns/iter (+/- 8)

test book_apply_delta_50 ... bench:         122 ns/iter (+/- 2)

test dual_book_assemble_50_levels ... bench:          33 ns/iter (+/- 0)

test coalescer_pair_flush ... bench:          16 ns/iter (+/- 0)

test funnel_immediate_dispatch ... bench:          87 ns/iter (+/- 6)

test ws_normalize_book_50 ... bench:        1498 ns/iter (+/- 52)

test scanner_scan_market ... bench:          39 ns/iter (+/- 4)

test execution_pipeline_paper_sync ... bench:         436 ns/iter (+/- 9)

