location	symbol	current_owner	disposition	new_owner	consumer	reason
crates/quant-pivot-api/src/binance/agg_trade.rs:35	MAX_REST_PAGE_SIZE	code	keep_code_constant	owning typed contract module	agg_trade	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/binance/agg_trade.rs:36	SPOT_AGG_TRADE_REQUEST_WEIGHT	code	keep_code_constant	owning typed contract module	agg_trade	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/binance/agg_trade.rs:37	USDM_FUTURES_AGG_TRADE_REQUEST_WEIGHT	code	keep_code_constant	owning typed contract module	agg_trade	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/binance/mod.rs:43	KLINE_REQUEST_WEIGHT	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/binance/mod.rs:46	SERVER_TIME_REQUEST_WEIGHT	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/binance/mod.rs:49	KLINE_PAGE_SIZE	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/binance/wire.rs:17	KLINE_FIELD_COUNT	code	keep_code_constant	owning typed contract module	wire	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/ctf/mod.rs:22	STANDARD_BINARY_INDEX_SETS	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/constants.rs:35	CTF_EXCHANGE_V1	code	keep_code_constant	owning typed contract module	constants	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/constants.rs:44	NEG_RISK_EXCHANGE_V1	code	keep_code_constant	owning typed contract module	constants	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/constants.rs:53	CTF_EXCHANGE_V2	code	keep_code_constant	owning typed contract module	constants	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/constants.rs:62	NEG_RISK_EXCHANGE_V2	code	keep_code_constant	owning typed contract module	constants	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/constants.rs:71	EXCHANGE_CONTRACTS	code	keep_code_constant	owning typed contract module	constants	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/denylist.rs:11	CTF_CONTRACT	code	keep_code_constant	owning typed contract module	denylist	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/denylist.rs:13	DENYLIST	code	keep_code_constant	owning typed contract module	denylist	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/order_filled_v1.rs:25	ORDER_FILLED_TOPIC	code	keep_code_constant	owning typed contract module	order_filled_v1	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/exchange/order_filled_v2.rs:27	ORDER_FILLED_TOPIC	code	keep_code_constant	owning typed contract module	order_filled_v2	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/gamma/sync.rs:26	EVENTS_KEYSET_PATH	code	keep_code_constant	owning typed contract module	sync	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/gamma/sync.rs:27	MAX_KEYSET_RESPONSE_BYTES	code	keep_code_constant	owning typed contract module	sync	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/gamma/sync.rs:28	MAX_KEYSET_RESPONSE_BYTES_U64	code	keep_code_constant	owning typed contract module	sync	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/gamma/wire.rs:8	GAMMA_EVENTS_KEYSET_MAX_PAGE_SIZE	code	keep_safety_limit	centralized defensive-limit module	boundary validator	Defensive upper bound prevents resource amplification and must not be raised through Runtime Config
crates/quant-pivot-api/src/relayer/mod.rs:31	PROXY_FACTORY	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/relayer/mod.rs:33	RELAY_HUB	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/relayer/mod.rs:35	STANDARD_BINARY_INDEX_SETS	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
crates/quant-pivot-api/src/relayer/mod.rs:37	PROXY_CALL_TYPE	code	keep_code_constant	owning typed contract module	mod	Stable mathematical, lexical or defensive invariant is not a business configuration
