path	current_owner	disposition	new_owner	consumer	apply_boundary	validator	secret_classification	reason
execution_authorization.auto_execution.enabled	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.auto_execution.max_orders_per_report	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.auto_execution.max_total_usd_per_report	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.auto_execution.min_confidence	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.auto_execution.min_score	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.schema_version	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.approval_ttl_secs	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.allowed_cash_budget_tiers_usd[]	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.enabled	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.expires_at	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.max_open_intents	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.max_total_cash_per_report	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.policy_artifact_id	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_authorization.semi_auto.canary.policy_content_hash	runtime_config	keep_runtime	ExecutionAuthorization	runtime-mode admission and authorization gate	next admission after mode preflight	credential, capability and funds-impact preflight	none	Execution authority is a governed operator decision rather than a deployment knob
execution_risk.breaker.cooldown_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.breaker.daily_realized_loss_cap_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.breaker.venue_consecutive_failures_to_degrade	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.breaker.venue_consecutive_failures_to_halt	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.breaker.venue_error_rate_bps_to_halt	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.breaker.venue_min_window_samples	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.breaker.venue_window_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.capital.max_open_intents	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.capital.max_reserved_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.entry_order_policy.max_slippage_bps	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.entry_order_policy.min_entry_book_depth_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.enabled	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.monitor_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.opportunistic_sell.enabled	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.opportunistic_sell.shadow_mode	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.signal_recheck_secs	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.signal_reinference.enabled	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.exit_monitor.signal_reinference.shadow_mode	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.budget.max_single_recommendation_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.budget.min_recommendation_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
execution_risk.portfolio.budget.total_budget_usd	runtime_config	keep_runtime	ExecutionRiskPolicy	portfolio planner, admission gate, execution workers	new OrderIntent or admission decision	typed risk validator and execution preflight	none	Changes capital or execution decisions and must be frozen at a money-impacting decision boundary
